Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,1277.719971,1305.099976,1266.890015,1286.770020,1286.770020,44450000
1985-02-01,1276.939941,1307.530029,1263.910034,1284.010010,1284.010010,207300000
1985-03-01,1285.339966,1309.959961,1242.819946,1266.780029,1266.780029,201050000
1985-04-01,1264.800049,1290.300049,1245.800049,1258.060059,1258.060059,187110000
1985-05-01,1257.180054,1320.790039,1235.530029,1315.410034,1315.410034,242250000
1985-06-01,1321.239990,1341.170044,1285.390015,1335.459961,1335.459961,205340000
1985-07-01,1334.010010,1372.199951,1313.400024,1347.449951,1347.449951,235130000
1985-08-01,1350.020020,1361.900024,1303.650024,1334.010010,1334.010010,176010000
1985-09-01,1333.670044,1348.229980,1283.709961,1328.630005,1328.630005,196960000
1985-10-01,1329.640015,1384.630005,1315.189941,1374.310059,1374.310059,253060000
1985-11-01,1372.130005,1486.930054,1367.780029,1472.130005,1472.130005,303580000
1985-12-01,1471.329956,1570.869995,1450.339966,1546.670044,1546.670044,361820000
1986-01-01,1546.219971,1582.910034,1491.739990,1570.989990,1570.989990,311020000
1986-02-01,1570.530029,1732.569946,1564.329956,1709.060059,1709.060059,336860000
1986-03-01,1706.189941,1849.739990,1663.069946,1818.609985,1818.609985,355900000
1986-04-01,1822.079956,1870.160034,1712.520020,1783.979980,1783.979980,441280000
1986-05-01,1777.900024,1898.219971,1746.530029,1876.709961,1876.709961,299610000
1986-06-01,1874.189941,1908.619995,1816.069946,1892.719971,1892.719971,264770000
1986-07-01,1889.760010,1922.670044,1741.560059,1775.310059,1775.310059,341490000
1986-08-01,1775.310059,1918.589966,1730.599976,1898.339966,1898.339966,297880000
1986-09-01,1903.260010,1933.349976,1732.989990,1767.579956,1767.579956,401220000
1986-10-01,1775.030029,1894.689941,1761.250000,1877.709961,1877.709961,399830000
1986-11-01,1880.619995,1926.459961,1797.099976,1914.229980,1914.229980,365620000
1986-12-01,1900.170044,1971.739990,1880.479980,1895.949951,1895.949951,404320000
1987-01-01,1900.589966,2214.570068,1897.359985,2158.040039,2158.040039,536660000
1987-02-01,2152.979980,2266.449951,2134.419922,2223.989990,2223.989990,428960000
1987-03-01,2228.209961,2399.570068,2209.080078,2304.689941,2304.689941,440920000
1987-04-01,2277.129883,2428.409912,2180.540039,2286.360107,2286.360107,561360000
1987-05-01,2282.239990,2380.770020,2188.530029,2291.570068,2291.570068,476490000
1987-06-01,2309.620117,2466.040039,2260.620117,2418.530029,2418.530029,422990000
1987-07-01,2410.080078,2588.330078,2391.260010,2572.070068,2572.070068,490720000
1987-08-01,2547.830078,2746.649902,2525.989990,2662.949951,2662.949951,505680000
1987-09-01,2666.770020,2695.469971,2468.989990,2596.280029,2596.280029,465230000
1987-10-01,2601.500000,2662.370117,1616.209961,1993.530029,1993.530029,829250000
1987-11-01,1972.650024,2027.520020,1795.260010,1833.550049,1833.550049,436510000
1987-12-01,1860.250000,2019.560059,1733.920044,1938.829956,1938.829956,457110000
1988-01-01,1952.589966,2075.270020,1845.989990,1958.219971,1958.219971,433000000
1988-02-01,1972.810059,2078.080078,1878.150024,2071.620117,2071.620117,464340000
1988-03-01,2074.929932,2110.909912,1951.260010,1988.060059,1988.060059,431700000
1988-04-01,1989.890015,2121.350098,1968.000000,2032.329956,2032.329956,413590000
1988-05-01,2032.160034,2071.949951,1921.579956,2031.119995,2031.119995,405210000
1988-06-01,2029.339966,2169.100098,2021.339966,2141.709961,2141.709961,486100000
1988-07-01,2144.909912,2169.449951,2047.300049,2128.729980,2128.729980,318910000
1988-08-01,2126.239990,2151.850098,1978.660034,2031.650024,2031.650024,367390000
1988-09-01,2023.109985,2140.290039,1988.439941,2112.909912,2112.909912,331310000
1988-10-01,2110.770020,2195.060059,2082.330078,2148.649902,2148.649902,387840000
1988-11-01,2145.090088,2185.989990,2026.670044,2114.510010,2114.510010,332270000
1988-12-01,2110.949951,2193.750000,2075.389893,2168.570068,2168.570068,302480000
1989-01-01,2163.209961,2350.179932,2127.139893,2342.320068,2342.320068,437810000
1989-02-01,2334.290039,2369.290039,2232.139893,2258.389893,2258.389893,394580000
1989-03-01,2267.320068,2351.070068,2234.459961,2293.620117,2293.620117,407630000
1989-04-01,2296.189941,2433.100098,2282.070068,2418.800049,2418.800049,369260000
1989-05-01,2402.489990,2521.629883,2356.300049,2480.149902,2480.149902,470970000
1989-06-01,2477.669922,2544.949951,2412.939941,2440.060059,2440.060059,517370000
1989-07-01,2448.790039,2668.250000,2431.530029,2660.659912,2660.659912,363700000
1989-08-01,2665.969971,2758.729980,2426.330078,2737.270020,2737.270020,478330000
1989-09-01,2732.330078,2768.239990,2636.780029,2692.820068,2692.820068,365600000
1989-10-01,2692.820068,2809.080078,2496.929932,2645.080078,2645.080078,546520000
1989-11-01,2640.570068,2718.219971,2563.110107,2706.270020,2706.270020,360280000
1989-12-01,2712.669922,2784.770020,2658.699951,2753.199951,2753.199951,371300000
1990-01-01,2748.719971,2834.040039,2513.060059,2590.540039,2590.540039,474840000
1990-02-01,2594.139893,2674.320068,2540.989990,2627.250000,2627.250000,354130000
1990-03-01,2621.620117,2775.000000,2607.879883,2707.209961,2707.209961,428150000
1990-04-01,2684.010010,2793.469971,2627.699951,2656.760010,2656.760010,322230000
1990-05-01,2668.459961,2908.209961,2651.350098,2876.659912,2876.659912,438950000
1990-06-01,2900.969971,2956.929932,2821.530029,2880.689941,2880.689941,431010000
1990-07-01,2883.169922,3024.260010,2833.169922,2905.199951,2905.199951,422380000
1990-08-01,2909.899902,2931.189941,2459.409912,2614.360107,2614.360107,591380000
1990-09-01,2590.840088,2665.350098,2367.820068,2452.479980,2452.479980,362900000
1990-10-01,2474.250000,2565.350098,2344.310059,2442.330078,2442.330078,483000000
1990-11-01,2441.830078,2581.189941,2415.590088,2559.649902,2559.649902,383280000
1990-12-01,2572.270020,2662.620117,2534.649902,2633.659912,2633.659912,358840000
1991-01-01,2627.229980,2747.280029,2447.030029,2736.389893,2736.389893,463830000
1991-02-01,2735.389893,2955.199951,2694.310059,2882.179932,2882.179932,538640000
1991-03-01,2859.649902,3017.820068,2829.209961,2913.860107,2913.860107,466850000
1991-04-01,2901.979980,3030.449951,2848.510010,2887.870117,2887.870117,462060000
1991-05-01,2901.479980,3044.500000,2834.530029,3027.500000,3027.500000,427100000
1991-06-01,3023.030029,3057.469971,2879.250000,2906.750000,2906.750000,384160000
1991-07-01,2925.540039,3039.580078,2897.360107,3024.820068,3024.820068,368370000
1991-08-01,3022.800049,3068.649902,2836.310059,3043.600098,3043.600098,424680000
1991-09-01,3042.040039,3066.639893,2963.100098,3016.770020,3016.770020,372770000
1991-10-01,3026.159912,3091.010010,2925.540039,3069.100098,3069.100098,453990000
1991-11-01,3075.360107,3091.909912,2861.139893,2894.679932,2894.679932,386040000
1991-12-01,2866.280029,3204.610107,2832.290039,3168.830078,3168.830078,455170000
1992-01-01,3152.100098,3299.189941,3139.310059,3223.399902,3223.399902,561160000
1992-02-01,3223.399902,3293.379883,3207.959961,3267.699951,3267.699951,411150000
1992-03-01,3267.699951,3299.639893,3188.280029,3235.500000,3235.500000,402410000
1992-04-01,3235.500000,3366.500000,3161.229980,3359.100098,3359.100098,458300000
1992-05-01,3359.100098,3440.669922,3324.020020,3396.899902,3396.899902,388240000
1992-06-01,3396.899902,3422.280029,3254.050049,3318.500000,3318.500000,475360000
1992-07-01,3318.800049,3402.959961,3266.530029,3393.800049,3393.800049,449770000
1992-08-01,3393.800049,3399.989990,3207.100098,3257.399902,3257.399902,363380000
1992-09-01,3257.399902,3376.489990,3242.760010,3271.699951,3271.699951,436570000
1992-10-01,3271.699951,3280.850098,3095.790039,3226.300049,3226.300049,530760000
1992-11-01,3226.300049,3308.409912,3184.669922,3305.199951,3305.199951,452340000
1992-12-01,3305.199951,3352.709961,3248.159912,3301.110107,3301.110107,510650000
1993-01-01,3301.100098,3320.830078,3231.949951,3310.000000,3310.000000,620010000
1993-02-01,3310.000000,3456.729980,3266.800049,3370.810059,3370.810059,577510000
1993-03-01,3370.800049,3482.120117,3343.260010,3435.110107,3435.110107,586100000
1993-04-01,3435.100098,3481.580078,3363.790039,3427.550049,3427.550049,645990000
1993-05-01,3439.399902,3565.070068,3415.330078,3527.429932,3527.429932,472660000
1993-06-01,3527.399902,3569.780029,3462.659912,3516.080078,3516.080078,461140000
1993-07-01,3516.100098,3583.500000,3449.899902,3539.469971,3539.469971,500980000
1993-08-01,3539.500000,3663.830078,3536.959961,3651.250000,3651.250000,526610000
1993-09-01,3651.300049,3655.719971,3507.060059,3555.120117,3555.120117,487790000
1993-10-01,3555.100098,3708.820068,3553.719971,3680.590088,3680.590088,529130000
1993-11-01,3680.600098,3717.760010,3600.669922,3683.949951,3683.949951,576680000
